Time,UserID,LocationX,LocationY,RSRP1,RSRQ1,RSRP2,RSRQ2,RSRP3,RSRQ3,RSRP4,RSRQ4,Label
0.2,1,1165.135602823,157.1556591658,-71.7816076163,nan,-76.1144692843,nan,-76.4211068732,nan,-77.0077711249,nan,0
0.2,2,18.1014531715,97.9043674669,-69.0996059136,nan,-71.0025787078,nan,-74.6483067418,nan,-76.2551060849,nan,0
0.2,3,539.3272462805,151.255140613,-67.527468379,nan,-69.9662907639,nan,-70.339134519,nan,-74.4137931151,nan,0
0.2,4,1050.2121538278,696.8145705625,-70.5274968498,nan,-70.598182991,nan,-75.0985263933,nan,-76.34997405,nan,0
0.2,5,526.4196355507,456.8449189866,-55.0330001702,nan,-65.9023961638,nan,-70.7385185063,nan,-71.1599733339,nan,0
0.2,6,674.6062317384,433.8137700525,-62.6207714305,nan,-71.5877427077,nan,-71.6075330884,nan,-74.313180109,nan,0
0.2,7,402.5821427092,101.0415115069,-65.9620932344,nan,-68.9578201056,nan,-73.5831289427,nan,-75.8871418102,nan,0
0.2,8,-55.9657061309,537.1001261078,-59.3065284636,nan,-71.197995535,nan,-73.5474827986,nan,-78.7846983574,nan,0
0.2,9,67.5878986834,909.9727082049,-68.5717305675,nan,-74.2627315677,nan,-74.9871515719,nan,-76.468475921,nan,0
0.2,10,547.0944869335,152.3826086442,-67.2431272528,nan,-70.0629406996,nan,-70.6152901117,nan,-74.2701261257,nan,0
0.2,11,41.0955156484,463.8422106805,-56.0571844728,nan,-70.8638950715,nan,-70.9236802642,nan,-71.9321389713,nan,0
0.2,12,331.9164006653,876.1476679745,-56.6995541121,nan,-71.5083941913,nan,-76.5947792416,nan,-76.6063572471,nan,0
0.2,13,1077.2737188819,940.7089828822,-68.6425888849,nan,-75.5860439915,nan,-76.1841891637,nan,-79.6291021151,nan,0
0.2,14,271.5813652203,268.5369283661,-68.272522915,nan,-69.2877065176,nan,-70.1570665142,nan,-74.8778311225,nan,0
0.2,15,1054.1202335516,635.6019112476,-69.1709575199,nan,-72.8408521893,nan,-74.1310061946,nan,-76.835291828,nan,0
0.2,16,706.3221114922,540.1709219284,-66.968264334,nan,-69.2942300669,nan,-71.6435879827,nan,-73.997948063,nan,0
0.2,17,565.7488477969,425.1474872612,-55.1519206471,nan,-71.1668542171,nan,-71.4680380375,nan,-72.8299830528,nan,0
0.2,18,342.2309944065,146.02078169,-68.0311761947,nan,-70.942822661,nan,-72.1346200602,nan,-74.4404902718,nan,0
0.2,19,175.164803597,292.6181475097,-67.9456556944,nan,-68.581050294,nan,-71.9730334396,nan,-74.2712645757,nan,0
0.2,20,856.0830730061,135.3141994469,-68.172757695,nan,-69.1624034322,nan,-74.0223705628,nan,-74.1531728708,nan,0
0.2,21,246.5485739469,-55.2110496828,-55.5973558883,nan,-72.5938368804,nan,-73.8199329952,nan,-73.8678479011,nan,0
0.2,22,994.8364429981,818.2780279914,-66.0517265571,nan,-71.6249777863,nan,-75.2527344756,nan,-77.2411114088,nan,0
0.2,23,12.3561846903,416.0325021983,-57.4246933759,nan,-58.2754128637,nan,-68.7606095954,nan,-71.3640552784,nan,0
